sentence1;sentence2
 To pa je res prekleto veliko drevo.; Ampak to je bila le teorija.
 Glej, glej.; Glej, glej.
 Izgleda, da je diplomaciji spodletelo.; Glej, glej. Kaže, da je diplomaciji spodletelo.
 V redu, ljudje, pa opravimo.; V redu, grem.
 Hočem, da gre vsak naboj plina naravnost skozi glavna vrata.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.
 Razumem, CS-40 je pripravljen.; Mislim, da je drugi obroč nosilen.
 Ogenj. -Streljam.; Ogenj. -Streljam.
 Zadetek. Dobro ciljaš, mojster.; Dobro se uči, Jakesully.
 Gospod, streljajo na nas.; Streljajo na nas. Gremo!
 Ne zafrkavajte me.; Ne zafrkavajte me.
 Ti bedaki niso razumeli sporočila.; Ti bedaki niso razumeli sporočila.
 Malo jim podkurimo, vključite rakete.; Malo jim podkurimo, vključite rakete.
 Ogenj.; Ogenj.
 Vsi se umaknite v gozd!; Odklopili se bodo!
 Tako se znebiš ščurkov.; Tako se prežene ščurke.
 Neytiri!; Neytiri!
 Proč morava, razstrelil bo stebre!; Stran morava, uničil bo stolpe.
 Moat, ne!; Človek, ne!
 Če si res eden izmed nas...; Nikoli ne boš eden od nas!
 nam pomagaj.; nam pomagaj.
 Vse enote, vključite rakete.; Vse enote, vklopite izstrelke.
 Namerite na osnovo zahodnih stebrov.; Imajo zunanji obroč stebrov.
 Sem!; Sem!
 Ja, mala, tu imaš!; Tu imaš!
 Podrite ga.; Odpeljite ga.
 Pridi, Grace, hitro!; Gremo, hitro!
 Na tla!; Veš, kaj to pomeni. Na tla.
 Odjebi.; Odjebi.
 Kaj za vraga delaš?; Kaj delaš?
 Nisem podpisala za tako sranje!; Nisem podpisala za tako sranje!
 Gremo!; Gremo!
 Dobro opravljeno, ljudje.; Mirno, ljudje.
 Nocoj plačam prvo rundo.; Dobro ste opravili. Nocoj prvo rundo plačam jaz.
 Gremo.; Gremo.
 Oče!; Oče!
 Oče!; Oče!
 Hči...; Hči...
 Vzemi moj lok.; Hčerka, vzemi moj lok.
 Zaščiti naš narod.; Zaščiti naš narod.
 Neytiri!; Neytiri!
 Žal mi je.; V redu. Žal mi je.
 Pojdi proč!; Pojdi proč!
 Pojdi proč!; Pojdi proč!
 Nikoli se ne vračaj!; Nikoli se ne vrni!
 Izključite.; Izključite.
 Tega ne smete!; Ne, tega ne smete! –Tega ne smete!
 Bil sem bojevnik, ki je sanjal, da bo prinesel mir.; Bil sem bojevnik, ki je mislil, da lahko prinese mir.
 A prej ali pozneje, na koncu se vedno zbudiš.; Toda prej ali slej se moraš zbuditi.
 Pošasti!; Pošasti!
 Kako kaj gre, dolgo se že nisva videla.; Kaj se dogaja? Dolgo se nisva videla.
 Osebno menim, da si ti izdajalski ljubitelji drevja ne zaslužijo zrezkov.; Po mojem si ti izdajalci ne zaslužijo zrezka.
 Dobili so zrezke? Zajebavaš, daj da vidim.; Dobili so zrezke? Zajebavaš, daj da vidim.
 Veš, kaj je to. Na tla.; Veš, kaj to pomeni. Na tla.
 Trudy, moj bog...; Trudy, moj bog...
 Max!; Max!
 Trudy, zaženi letalo.; Trudy, vžgi ladjo. Gremo!
 Drži.; Drži.
 Prosto je, pridite.; Prosto je, pridite.
 Tukaj imaš.; Tukaj imaš.
 Max, ostani tukaj.; Max, ostani tukaj.
 Tukaj potrebujem nekoga, ki mu lahko zaupam.; Max, ostani tu. Potrebujem nekoga, ki mu zaupam.
 Prav, pojdi.; Prav, pojdi.
 Vse prosto.; Vse prosto.
 Daj, mala.; Daj, mala.
 Polkovnik, nekaj se dogaja.; Charlie 21, nekaj se premika.
 Nedovoljen zagon motorjev.; Nedovoljen zagon motorjev.
 Gremo!; Gremo!
 Nadenite si maske!; Nadenite si maske!
 Streljajo na nas, gremo!; Streljajo na nas. Gremo!
 Polkovnik!; Polkovnik!
 Sranje.; Sranje.
 Ste vsi v redu tam zadaj? -Ja.; Norm, si v redu? –Ja.
 Norm, si v redu? -Ja.; Norm, si v redu? –Ja.
 To mi bo pokvarilo dan.; To mi bo pokvarilo dan.
 Grace so zadeli. -Kaj?; Grace je ranjena. –Kaj?
 Prva pomoč je spredaj.; Pritisni. –Prva pomoč je spredaj.
 Drži se, Grace. -Ni pomembno.; Bala sem se, Jake.
 Je že v redu.; Je že v redu.
 Smo pripravljeni? -Dvigni ga.; Lahko gremo. –Dvigni ga.
 Drži se.; Prebudi se.
 Prosto je!; Prosto je!
 Pojdi na sever, globoko v planine.; Pojdi nazaj.
 Razumem.; Razumem.
 Norm, si v redu tam zgoraj?; Norm, si v redu tam zgoraj?
 Ja, še sem tukaj.; Ja, še sem tukaj.
 Tukaj nam vsaj ne morejo slediti.; Tukaj nam vsaj ne morejo slediti.
 Ne tako globoko v vrtincu.; Ampak ne tako kot tu.
 Najmočnejši je ob drevesu duš, ali ne?; Pri Drevesu duš je najmočnejši, ne?
 Ja. -Dobro.; Ja. -Dobro.
 Zato, ker gremo točno tja.; Zato, ker gremo točno tja.
 Res si prava cmera.; Res je dobra lovka.
 Se premikamo?; Se lahko malo pomirimo?
 Poiskal ti bom pomoč, Grace.; Pomoč ti bom poiskal.
 Znanstvenica sem, še se spomniš?; Znanstvenica sem, še se spomniš?
 Ne verjamem v pravljice.; Ne verjamem v pravljice.
 Narod ti bo pomagal, prepričan sem v to.; Narod ti bo pomagal, prepričan sem v to.
 Zakaj bi nam hoteli pomagati?; Zakaj bi nam pomagali?
 Narod pravi, da bo Eywa poskrbela za nas.; Ljudstvo pravi, da bo Eywa pomagala.
 Ampak brez doma in upanja so lahko šli samo na en kraj.; Ko so ostali brez doma in upanja, so se lahko zatekli le na en kraj.
 Povezava deluje, kakšen načrt imaš, Jake?; Slušni odziv normalen. Kako se počutiš, Jake?
 Ni načrta.; Ni načrta.
 Tsu'Tey je zdaj šef tam.; Zdaj je pri Eywi.
 Niti blizu ti ne bo dovolil.; Ne bo ti všeč.
 Moram poskusiti.; Moram poskusiti.
 Vključujem.; Vključujem.
 Odpadnik, izdajalec, tujec.; Odpadnik, izdajalec, tujec.
 Bil sem na kraju, ki ga oko ne vidi.; Bil sem na kraju, ki ga oko ne vidi.
 Potreboval sem njihovo pomoč in oni so potrebovali mojo.; Potreboval sem njihovo pomoč, oni pa mojo.
 Da pa bi jim lahko zopet stopil pred oči, bom moral zadevo dvigniti na čisto nov nivo.; Če sem jim hotel še kdaj stopiti pred oči, sem moral storiti nekaj velikega.
 Včasih se nam celotno življenje obrne v eni sami nori potezi.; Včasih se življenje strne v eno samo noro potezo.
 Nekaj morava narediti.; Nekaj morava narediti.
 In ne bo ti všeč.; Ne bo ti všeč.
 Po tem, kar sem vedel je Turok najhujša zver na nebu.; Zaljubil sem se v gozd, v ljudstvo Omaticaya in vate.
 Njega nihče ne napade.; Jaz sem samo pešak, ki gre nekam, kamor si ne želi.
 Mirno, fant.; Mirno, fant.
 Zakaj bi torej kdaj pogledal gor?; Zakaj bi se torej oziral gor?
 To je bila samo teorija.; Ampak to je bila le teorija.
 Vidim te.; Vidim te.
 In jaz tebe.; Tudi jaz tebe.
 Bala sem se, Jake.; Bala sem se, Jake.
 Za moj narod.; Za moj narod.
 Sedaj pa me ni več strah.; Sploh mi ni treba braniti.
 Tsu'Tey, sin Ateya, pred teboj stojim, da poskusim rešiti narod Omaticaya.; Tsu'tey, Ateyev sin, pred tabo stojim, pripravljen služiti ljudstvu Omaticaya.
 Ti si njihov vodja.; Ti si kriv. Ne bi jim bilo treba umreti.
 In velik bojevnik.; In velik bojevnik.
 Brez tebe mi ne bo uspelo.; Brez tebe mi ne bo uspelo.
 Toruk Makto.; Toruk Makto.
 Letel bom s teboj.; Toruk Macto, letel bom s tabo.
 Moja prijateljica umira.; Moja prijateljica umira.
 Grace umira.; Grace umira.
 Prosim za pomoč Eywe.; Prosim za Eywino pomoč.
 Poglej, kje sva, Grace.; Poglej, kje sva, Grace.
 Vzorec potrebujem.; Vzorec potrebujem.
 Velika mati se lahko odloči, da prenese vse, kar ona je v to telo.; Velika mati lahko reši vse, kar je v tem telesu.
 Je to mogoče?; Je to mogoče?
 Mora skozi oko Eywe in se potem vrniti.; Iti mora skozi Eywino oko in se vrniti.
 Ampak, Jake Sully zelo slabotna je.; Ampak, Jakesully, zelo šibka je.
 Drži se, Grace, pomagali ti bodo.; Drži se, Grace. Ozdravili te bodo.
 Poslušaj nas, vsemogočna mati. Prosimo te za pomoč.; Poslušaj nas, vsemogočna mati. Prosimo te za pomoč.
 Eywa, pomagaj ji.; Eywa, pomagaj ji.
 Sprejmi vase ta duh...; Vzemi ta duh vase in ga dahni nazaj med nas.
 in jo obudi nazaj.; Pojdi nazaj.
 Naj hodi zopet z nami...; Naj spet hodi med nami kot ena od nas.
 kot ena izmed Naroda.; kot ena izmed Naroda.
 Jake...; Jake...
 Grace.; Grace.
 Z njo sem, Jake.; Pri njej sem, Jake.
 Resnična je.; Resnična je.
 Grace! Grace!; Grace!
 Kaj se dogaja?; Kaj se dogaja?
 Je delovalo?; Je uspelo?
 Njene rane so bile prehude.; Rane so bile prehude. Premalo časa je bilo.
 Ni bilo dovolj časa.; Ni bilo dovolj časa.
 Zdaj je z Eywo.; Zdaj je pri Eywi.
 S tvojim dovoljenjem bi zdaj spregovoril.; Če dovoliš, bi rad nekaj povedal.
 Bilo bi mi v čast, če boš prevajal.; V čast mi bo, če boš prevajal.
 Ljudje iz nebes so nam poslali sporočilo, da si lahko vzamejo vse, kar si želijo.; Ljudje z neba so nam sporočili, da lahko vzamejo, kar hočejo, in da jih ne more nihče ustaviti.
 In da jih nihče ne more ustaviti.; Razen če jih ustavimo.
 Ampak mi bomo poslali sporočilo njim.; Tudi mi bomo njim poslali sporočilo.
 Poletite naokrog tako hitro, kot vas bo veter lahko nesel.; Pojezdite hitro, kolikor vas veter nese.
 Povejte drugim klanom, naj pridejo sem.; Povejte drugim klanom, naj pridejo sem.
 Povejte jim, da jih kliče Turok Makto.; Recite jim, da jih kliče Toruk Macto.
 Poletite zdaj!; Poletite z mano!
 Z menoj.; Z menoj.
 Moji bratje, sestre, pokazali bomo ljudem z nebes, da si ne morejo vzeti vsega, kar si želijo!; Ljudem z neba bomo pokazali, da ne morejo vzeti, kar hočejo, in da je to naša zemlja.
 In da je to naša dežela!; In tudi to je dejstvo.
 Odjahali smo na vse štiri strani sveta, do klana konjenikov na velikih ravninah, do naroda Ikranov ob vzhodnem morju.; Pojezdili smo na vse štiri smeri neba.
 Ko jih je poklical Turok Makto so prišli.; Ko jih je Toruk Macto poklical, so prišli.
 Dejstvo je, da se vsi na tej bazi borimo za preživetje.; Edina težava je, da nisi edini.
 Tam zunaj se zbira krdelo domorodcev za napad.; Zunaj se domorodske horde zbirajo za napad.
 Orbitalni posnetki kažejo da se je število sovražnikov povečalo od nekaj sto do precej več kot dva tisoč v samo enem dnevu.; Orbitalne slike kažejo, da je njihovo število z nekaj sto v enem dnevu naraslo na več kot dva tisoč.
 In še več jih prihaja.; In še več jih prihaja.
 V enem tednu jih je lahko več kot dvajset tisoč.; V enem tednu jih je lahko 20.000.
 Takrat jih bo dovolj, da prebijejo našo obrambo.; Mislim, da je drugi obroč nosilen.
 To se ne sme zgoditi.; Ampak to se ne bo zgodilo.
 Varni smo lahko samo, če napademo prvi.; To se zgodi, če proti njim uporabiš strojnice.
 Proti sili se bomo borili s silo.; Tja bomo šli.
 Sovražniki verjamejo, da njihovo planinsko utrdbo varuje njihovo božanstvo.; Sovražniki verjamejo, da njihovo gorsko oporišče varuje njihovo … Njihovo božanstvo.
 In ko jo uničimo, bomo v njihov spomin naredili tak krater, da se ne bodo približali na manj kot tisoč kilometrov temu mestu nikoli več.; Ko ga bomo uničili, bomo naredili tako veliko luknjo v njihovem kolektivnem spominu, da se temu kraju ne bodo več približali.
 In tudi to bo postalo dejstvo.; In tudi to je dejstvo.
 Jake, tu je norišnica.; Jake, tu je norišnica.
 Polna mobilizacija, shuttle so spremenili v bombnik.; RAZSTRELIVO Tu je noro. Splošna mobilizacija. Raketoplan predelujejo v bombnik.
 Naložili so cele palete rudarskega razstreliva za neko vrsto zastraševalne naloge.; Zunaj se domorodske horde zbirajo za napad.
 Prekleti prasci.; Prekleti prasci.
 Quaritch je prevzel poveljstvo, podivjal je in ne bo se ustavil.; Quaritch je prevzel vodstvo. Nič ga ne bo ustavilo.
 Kdaj? -Zjutraj ob šestih.; Kdaj? –Jutri ob 6.00.
 Moram prekiniti.; Moram poskusiti.
 Najebali smo.; Nasankali smo.
 Upala sem na nek taktični načrt, ki ne vključuje mučeništva.; Upala sem na taktični plan, ki ne bo zahteval mučeništva.
 Proti letalom se bomo borili z loki in puščicami.; Proti bojnim ladjam se bomo borili z loki in puščicami.
 Tam zunaj imam petnajst klanov.; Tam zunaj imam petnajst klanov.
 Več kot dva tisoč bojevnikov.; Več kot 2000 bojevnikov.
 Poznamo te planine, leteli smo med njimi, tudi ti si.; Samo hvala bi ti rekel, ker si jih pobila.
 Oni pa niso.; Oni pa niso.
 Njihove naprave tukaj ne delujejo, usmerjanje raket ne deluje.; Njihovi instrumenti tu ne bodo delali. Sledilne naprave tudi ne.
 Streljali bodo lahko samo na to, kar vidijo.; Zanašati se bodo morali na vid.
 Če se pridejo borit k nam, bomo imeli prednost zaradi terena.; Če bi bil na pripravah, bi to vedel.
 Saj veš, da bo bombnik poslal naravnost na drevo duš.; Stran morava, uničil bo stolpe.
 Vem.; Vem.
 Če pridejo do njega, je konec.; Če pridejo do Drevesa duš, je konec.
 To je njihova direktna povezava z Eywo, z njihovimi predniki.; To je njihova direktna povezava z Eywo, z njihovimi predniki.
 To jih bo uničilo.; Ampak to se ne bo zgodilo.
 Potem pa jih raje ustavimo.; Razen če jih ustavimo.
 Verjetno se zdaj pogovarjam samo z drevesom.; Verjetno se pogovarjam z drevesom.
 Če pa si tam, ti moram nekaj povedati.; Če dovoliš, bi rad nekaj povedal.
 Če je Grace s teboj, poglej v njene spomine.; Če je Grace s tabo, poglej v njene spomine.
 Poglej svet s katerega prihajamo.; Poglej svet, od koder prihajamo.
 Tam ni ničesar zelenega.; Tam ni zelenja.
 Ubili so lastno mati.; Ubili so svojo mater.
 Enako bodo naredili tukaj.; In tu bodo storili isto.
 Še več ljudi bo prišlo iz nebes.; Še več ljudi z neba bo prišlo.
 Prihajalo bodo kot dež, ki ga ni nikoli konec.; Prišli bodo kot dež, ki ga ni nikoli konec.
 Razen, če jih zdaj ustavimo.; Razen če jih ustavimo.
 Zaradi nečesa si me izbrala.; Za nekaj si me izbrala.
 Uprl se bom in se boril.; Uprl in boril se bom.
 Dobro veš, da se bom res.; Veš, da se bom.
 Potreboval pa bi malo pomoči.; Potreboval pa bi malo pomoči.
 Naša Velika mati se ne odloča za nobeno stran.; Naša Velika mati ne izbira strani, Jake.
 Varuje samo ravnotežje življenja.; Ohranja samo ravnotežje življenja.
 Splačalo se je poskusiti.; Splačalo se je poskusiti.
 Govori vodja skupine, vstopamo v energetski vrtinec.; Tu vodja skupine. Vstopamo v Vrtinec.
 Preklopite na ročno upravljanje.; Pripeljite na stezo D, vključite oddajnik.
 Govori oče zmaj.; Govori oče zmaj.
 Hočem, da odprava poteka brez napak. Za večerjo hočem biti doma.; Vodja varnostnikov sem. Moja naloga je, da vas ohranim žive.
 Oklepniki, gremo.; Oklepniki, gremo.
 Prav, dame, pokažimo jim bolečino.; Prav, dame, pokažimo jim bolečino.
 Odprite oči, preverjajte vse pred vami.; Pripravite vse orožje.
 Pazite na toplotne posnetke.; Pazite na toplotne posnetke.
 Vse enote, očka prevzema poveljstvo.; Vse enote, vklopite izstrelke.
 Gremo proti tarči.; Glavni napreduje proti tarči.
 Spremstvo, bodite v bližini mojega letala.; Spremstvo, bodite v bližini mojega letala.
 Tukaj nam bodo oskubili malo barve.; Prišli bodo kot dež, ki ga ni nikoli konec.
 Strelne posadke, dobro odprite oči.; Strelne posadke, dobro odprite oči.
 Ne delajte napak, ljudje, gotovo so nekje tukaj.; Verjemite, da so tam.
 V redu, tarča na vidiku. Oddaljenost štiri kilometre.; V redu. Lokacija: koča.
 Valkira 16, pripravite svoj tovor.; Valkira 1–6, pripravi svoj tovor.
 Razumem. -Naložimo tovor.; Razumem. -Naložimo tovor.
 Da, gospod. -Držite svoj položaj.; Zveni dobro, gospod.
 Porinimo ga k rampi!; Spravi ga k rampi!
 Ostanite na svojem mestu.; Tega nočete imeti na vesti, verjemite.
 Gospod, na tleh so opazili premike.; Gospod, na tleh so opazili premike.
 V strelno črto! -Tarče se približujejo.; V strelno črto! -Tarče se približujejo.
 Oddaljenost 400 metrov.; Tarče se bližajo. Doseg: 400 metrov.
 Lahko očistite sliko? -Ne, gospod, zaradi vrtinca.; Lahko očistite sliko? -Ne, gospod, zaradi vrtinca.
 Brat, naredil nam bom prehod, sledi mi skozi njega.; Toruk Macto, letel bom s tabo.
 Vse letala, odprite ogenj.; Vse letala, odprite ogenj.
 Zavij desno, obrnimo se.; Zavij desno, obrnimo se.
 Zapustite formacijo, napadite sovražnike.; Razbijte formacijo, uničite sovražnika.
 Škorpijoni, zasledujte jih in jih uničite.; Škorpijoni, zasledujte in uničite.
 Jake, Jake, me slišiš?; Jake, me slišiš?
 Umikamo se! Potolkli so nas!; Umikamo se! Potolkli so nas!
 Razumem, umaknite se.; Razumem, umaknite se.
 To je on, za njim!; To je on. Za njim!
 Uničite ga!; Uničite ga!
 Posvetite ji.; Posvetite ji.
 Niste edini z orožjem, prasci.; Niste edini z orožjem, prasci.
 Ne izgubite je iz oči!; Ne izgubite je iz oči!
 Tako je prav!; Tako je prav!
 Odpadnica ena je zadeta. Padam!; Rogue 1 je zadet. Nazaj grem.
 Žal mi je, Jake.; Žal mi je, Jake.
 Ogenj!; Ogenj!
 Tsu'Tey, brat, me slišiš?; Tsu'tey! Brat, me slišiš?
 Odpadnica ena, me slišiš?; Jake, me slišiš?
 Trudy?; Trudy?
 Do tarče še dve minuti. -Valkira 16, lahko napadete.; Valkira 1–6, lahko napadeš.
 Razumem, zmaj, začenjamo bombardiranje.; Razumem, zmaj, začenjamo bombardiranje.
 Odvrzite številko ena!; Odvrzite številko ena!
 Številka ena pripravljena!; Številka ena pripravljena!
 Jake!; Jake!
 Slišim te.; Slišim te.
 Neytiri.; Neytiri.
 Čisto blizu so, tako veliko jih je.; Zelo blizu so. Veliko jih je.
 Ne napadaj.; Ne napadaj.
 Si slišala, Neytiri?; Me slišiš, Neytiri?
 Ne napadaj!; Ne napadaj!
 Umakni se, beži proč! To je ukaz!; Umakni se. Pojdi stran! To je ukaz!
 Neytiri!; Neytiri!
 Opažam premikanje.; Opažam premikanje.
 Ostanite na položaju.; Ostanite na položaju.
 Nekaj prihaja.; In še več jih prihaja.
 Opažam premike, oddaljenost 200 metrov.; Opažam premike, oddaljenost 200 metrov.
 Pripravite se.; Pripravite vse orožje.
 Bežimo proč!; Bežimo proč!
 Umaknite se!; Umaknite se!
 Jake!; Jake!
 Eywa te je slišala.; Jake, Eywa te je slišala.
 Eywa te je slišala!; Eywa te je slišala!
 Gospod, vse spremljevalne enote so uničene ali pa se umikajo.; Vsi v tem oporišču se borimo za preživetje.
 Opravimo že s tem.; Opravimo to, ljudje.
 Valkira 16, tukaj zmaj, nadaljujte proti tarči.; Glavni napreduje proti tarči.
 Razumem. Napredujemo proti tarči. Pripravite se za met, še 30 sekund.; Razumem. Napredujemo proti tarči. Pripravite se za met, še 30 sekund.
 Na moj znak. Dva, ena, zdaj.; Na moj znak. Dve, ena, zdaj.
 Odvrzi!; Odvrzi!
 To je Sully!; Eywa te je slišala!
 Nataknite si maske! -Izgubljamo zrak!; Nataknite si maske! -Izgubljamo zrak!
 Pridi k očku.; Pridita k očku.
 Predaj se, Quaritch.; Predaj se, Quaritch.
 Konec je.; Konec je.
 Ni konec dokler še diham.; Ni konec dokler še diham.
 Na nek način sem kar upal, da boš to rekel.; Upal sem, da boš to rekel.
 Pridi!; Pridi!
 Sully, kakšen je občutek ko izdaš lastno raso?; Hej, Sully, kako je, če izdaš lastno raso?
 Misliš, da si eden izmed njih?; Misliš, da si eden od njih?
 Čas je, da se zbudiš.; Zdaj pa je čas, da se vrneš.
 Jake!; Jake!
 Jake...; Jake...
 Jake...; Jake...
 Jake! Moj Jake!; Jake! Moj Jake!
 Vidim te.; Vidim te.
 Vidim te.; Vidim te.
 Tujci so odšli nazaj na svoj umirajoči svet.; Tujci so se vrnili na svoj umirajoči planet.
 Le redke smo izbrali, da lahko ostanejo.; Le redke smo izbrali, da lahko ostanejo.
 Čas velikega žalovanja se je končal.; Čas velike žalosti je bil pri koncu.
 Toruk Makto ni več bil potreben.; Toruk Macta niso več potrebovali.
 Mislim, da je to moj zadnji posnetek.; Obožujem to palico. Obožujem to palico.
 Karkoli se bo nocoj zgodilo...; Ampak to se ne bo zgodilo.
 Tako ali drugače, ne bom se več vrnil na ta kraj.; Karkoli se bo že zgodilo nocoj, kakorkoli se bo izteklo, nazaj sem me ne bo več.
 Čas bo, da grem.; Čas bo, da grem.
 Ne bi rad zamudil na lastno zabavo.; Nočem zamuditi na svojo zabavo.
 Navsezadnje je to moj rojstni dan.; Navsezadnje je moj rojstni dan.
 Jake Sully končuje.; Jake Sully končuje poročilo.
